star_academy_sessions
Module,Session,Focus,Objectives,Materials,Teacher_Preparations,Performance_Assessment_Questions,,,
Math Behind Your Meals,2,Algebots Game and algebra language,"• Review mathematical properties.
• Review the Order of Operations.
• Practice solving multistep equations through a game.",Algebots game,N/A,"1. Give an example of each: integer, rational number, and irrational number.
2. Identify and explain the following algebra terms: expression, variable, exponent, base and equation.
3. Demonstrate how to use three of the following properties: Commutative, Associative, Distributive, Identity, or Equality.
4. Demonstrate how to work this problem according to the order of operations: (two times four) squared plus ten times eight minus three cubed equals n.",,,
Math Behind Your Meals,3,A Farmer's Share and Algebots Game,"• Learn about food production.
• Substitute values for variables in solving food production-related equations.
• Continue a game involving multistep equations.","Clay, 2 two butter knives, nutritional scale,2 pieces of waxed paper",Ensure the digital scale has new batteries and is working correctly.,N/A,,,
Math Behind Your Meals,4,Percent change and Algebots game,"• Learn about food consumption in the US today.
• Use a formula to figure percent change in relation to food trends.
• Use graphs and charts to analyze food-consumption data.
• Explore using the game involving multistep equations.",N/A,N/A,N/A,,,
Math Behind Your Meals,5,Calories in a peanut and figuring BMR and formulas-percent change,"• Learn about nutrients in food.
• Watch a video about how calories are measured in food.
• Use a formula to determine total calorie requirements.",N/A,N/A,"1. Use the percent of increase formula in a problem to compare a given set of data.
2. Use the percent of decrease formula in a problem to compare a given set of data.
3. Give three reasons for eating. 4. Locate information on a table and use it to solve an equation.",,,
Math Behind Your Meals,6,Figuring BMI and comparing portions and ratios and proportions,"• Use a formula to figure body mass index.
• Identify waist-to-hip ratios.
• Use ratios and proportions to evaluate nutritional values.
• Identify and compare changes in fast-food portions.","Container of clay, nutritional scale, food list book, waxed paper, pencils, scrap paper, graphing calculators",Ensure the containers of clay are ready for the students to use.,"1. Use the BMI formula to figure body mass index from a given height and weight.
2. Use the information from four nutrition labels to express total fat from calories to total calories as ratios.
3. Determine whether two ratios are a proportion.
4. Show ratios of fat to calories in multiple servings are proportional.",,,
Math Behind Your Meals,7,Comparing Nutrients and Algebots Game,"• Learn how changes in society have affected our food-consumption habits.
• Gain awareness of the costs of overconsumption.
• Learn how the food industry is marketing to children and teens.
• Continue playing a game involving multistep equations.",N/A,N/A,N/A,,,
Microbiology,1,Microbiology & The Microscope,"• Learn the history of microbiology as a science.
• Learn the history of the classification system.
• Discover the different components of a compound digital microscope.
• Learn how to properly handle the microscope.
• Focus the microscope to view microscopic organisms.","Diatom slide, lens paper, microscope",Microbiology requires that the teacher prepare culture plates for Session 1 of each rotation.,"1. Demonstrate the proper way to handle the microscope.
2. Demonstrate knowledge of the microscope components.
3. Demonstrate how to focus a microscope.
4. Give the total magnification for each of the three objectives and explain how you came to this conclusion.",,,
Microbiology,2,Monerans,"• Learn about the characteristics of monerans, where they live, and how they are produce.
• View slides of the three basic shapes of monerans.
• Use software to capture an image of the monerans.","Microscope, bacteria (three types), smear",N/A,N/A,,,
Microbiology,3,How Monerans Affect the World,"• Learn how monerans affect the world around you.
• Discover how monerans are used in the making of foods.
• Learn how monerans fuel the nitrogen cycle and how you cannot survive without them.
• Discover that more bacteria are helpful than harmful.
• Examine bacterial slides.","Microscope, E. coli slide, Cyanobacteria slide, Pseudomonas slide",N/A,"1. Explain three ways bacteria are helpful.
2. Explain how bacteria can be harmful.
3. Explain how the same bacteria can be both beneficial and harmful and give an example.
4. Explain how bacteria can survive harsh conditions.",,,
Microbiology,4,Classification System,"• Do an overview of the seven levels of the classification system.
• Learn the basic characteristics of the Protist Kingdom.
• Learn about plantlike and animal-like protists.
• View slides of plantlike and animal-like protists.","Microscope, Euglena slide, paramecium slide",Place the labels included with the Module on your Protist Culture Tanks (the 16-ounce covered jars).,N/A,,,
Microbiology,5,Motile Protists,"• View live motile protists and capture images of them.
• Classify live specimens based on their method of movement.","Microscope, ReadySlide adapter, Euglena ReadySlide, Paramecium ReadySlide, Blepharisma ReadySlide, Amoeba ReadySlide, Stentor ReadySlide",Prepare slides for viewing the day before or the morning of Session 5. Use the following process for all five specimens: Squeeze the bulb of the pipette to remove as much air as possible. Gently insert a disposable pipette so that the tip is close to the bottom of the culture tank. Release the bulb of the pipette. Insert the pipette into the appropriate ReadySlide. (Remember to reuse the ReadySlides.) Loosely place the cap on the ReadySlide. Repeat this process for the other four cultures.,N/A,,,
Microbiology,6,Spontaneous Generation,"• Explore the history of the theory of spontaneous generation.
• Explain Francesco Redi's contributions to the scientific method.
• Begin an experiment about how antibiotic resistance forms.","'Antibiotic Resistance' worksheet, small beads, 16 oz. plastic jar, lid with quarter-inch hole pattern (Lid A), spoon, aluminum pan","Session 6: Preparing for the Antibiotic Resistance Activity 1. Place label ""A"" on the lid with the smaller holes in it. 2. Place label ""B"" on the lid with the larger holes in it.",N/A,,,
Microbiology,7,Theory of Evolution,"• Learn about the theory of evolution.
• Explain how natural selection occurs.
• Investigate how bacteria evolve into antibiotic-resistant strains.","'Antibiotic Resistance' worksheet, small beads, medium beads, large beads, spoon, 16 oz plastic jar, lid with quarter inch hole pattern (Lid A), lid with one-inch hole pattern (Lid B), aluminum pan",N/A,"1. List three key concepts in Darwin's theory of evolution.
2. List the three conditions that must exist for natural or artificial selection to take place.
3. Explain how the selection process is exhibited in antibiotic-resistant bacteria.
4. Explain how individuals can contribute to developing antibiotic-resistant bacteria.",,,
Natural Disasters,1,Constructive processes and types of faults and plate boundaries,"• Learn about constructive processes, including mountain building.
• Demonstrate three types of faults.
• Locate tectonic plates and plate boundaries.",Landform Demonstration Kit,N/A,N/A,,,
Natural Disasters,2,Earthquakes and Seismic Waves and Measuring Earthquakes,"• Explore where and why earthquakes occur.
• Define and identify types of seismic waves.
• Learn two scales used to measure earthquakes.
• Use a seismograph to record simulated earthquake waves.","Seismograph board, rubber mallet, digital timer, two ""Seismic Waves"" worksheets",N/A,"1. Explain the cause of an earthquake, referring to fault lines and plate boundaries.
2. Show your seismograph readings and explain what they mean.
3. Compare your seismogram to one generated by a real earthquake. List two similarities and two differences.
4. Explain the difference between the Richter scale and the Modified Mercalli scale.",,,
